idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
E740 ;E740 ;124-128 Avenue Pierre Brosselette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;;69029;35;4,919584425386949;45,73924146067746
E312;E312;18 Avenue Jean Cagne;Vénissieux;20235;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2015-01-22;69259;45;4,87172686089182;45,69597841613841
E297;E297;26 Avenue Jean Cagne;Vénissieux;20235;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;88;4,872415372275973;45,69553147096111
E760;E760;2 Rue Pierre Sonnerat;Lyon 8e Arrondissement;28901;;Z101.0.OM;Col Sud;COL GUERIN;2021-12-01;2021-12-06;2021-12-06;;69388;99;4,881396030423475;45,73852168754643
E213;E213;16 Rue du Peronnet;Vernaison;20611;;V101.0.OM;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;103;4,814740331052019;45,65196161366608
E505;E505;1 Rue Jean Chirat;Albigny-sur-Saône;00125;;V101.0.OM;Col Nord-Ouest;COL GUERIN;2018-01-15;2018-02-20;2019-02-13;2018-02-20;69003;135;4,832169204104459;45,86516411062889
E191;E191;17 Avenue de Gadagne;Saint-Genis-Laval;15620;;V101.0.OM;Col Sud;COL VEOLIA;2019-02-01;2019-01-28;2019-01-28;;69204;255;4,792304395732331;45,70126685426291
E385;E385;34 Avenue des Sources;Écully;06692;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;297;4,783343166907025;45,79204594446419
E801;E801;170 Cours Rouget de Lisle;Rillieux-la-Pape;37215;;V101.0.OM;Col Nord-Ouest;COL GUERIN;2023-10-03;2023-11-02;2023-11-02;;69286;4878;4,907239994362837;45,81484646150454
E359;E359;22 Avenue des Sources;Écully;06692;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2022-10-28;;69081;318;4,785424684820217;45,78908175774725
E103;E103;6 Boulevard de Lattre de Tassigny;Rillieux-la-Pape;24883;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-22;69286;363;4,904355164986877;45,812403029386374
E654;E654;4 Rue Françoise Giroud;Lyon 9e Arrondissement;35646;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-06-28;2017-07-21;2020-08-20;2020-08-20;69389;401;4,794283331356791;45,78498104848686
E384;E384;34 Avenue des Sources;Écully;06692;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;437;4,783326193616294;45,792065923143554
E108;E108;1/3 Rue Arthur Rimbaud;Lyon 9e Arrondissement;35276;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2009-03-13;2018-04-24;2013-02-22;69389;438;4,793704751739156;45,787712401588216
E528;E528;26 Rue Paul Verlaine;Vénissieux;20502;;V101.0.OM;Col Sud;COL GUERIN;2021-02-15;2021-03-01;2021-03-02;2021-03-02;69259;450;4,856816647741296;45,724649097483436
E517;E517;1 Square Koenig;Rillieux-la-Pape;25247;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2020-09-01;2020-09-17;2022-10-05;2021-01-14;69286;480;4,904651843401159;45,81543312187927
E761;E761;4 Rue Pierre Sonnerat;Lyon 8e Arrondissement;28901;;Z101.0.OM;Col Sud;COL GUERIN;2017-05-22;2021-12-06;2021-12-06;;69388;549;4,881449792792361;45,738544545529905
E259;E259;6 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2012-11-19;69259;551;4,867212955806454;45,69838377285639
E732;E732;110-114 Avenue Pierre Brossolette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;;69029;126;4,921178438857408;45,73934201656169
E140;E140;2 Rue Président Edouard Herriot;Vénissieux;20503;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;565;4,876851399047585;45,69622923128788
E534;E534;32 Rue Paul Verlaine;Vénissieux;20502;;V101.0.OM;Col Sud;COL GUERIN;2021-02-15;2021-03-01;2021-03-02;2021-03-02;69259;605;4,857341609036033;45,72524346417409
4144;4144;36 Rue Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL VEOLIA;2018-06-01;2018-07-19;2019-03-29;2019-03-29;69290;248;4,955536572367964;45,68834417787999
E138;E138;1 Rue Père Louis De Galard;Lyon 9e Arrondissement;35636;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2012-06-06;2018-04-24;2013-02-26;69389;635;4,794608862788475;45,78563443552521
E126;E126;Place du 8 Mai 1945;Neuville-sur-Saône;11319;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-26;69143;638;4,840334228280154;45,87724164816413
E282;E282;Rue des Aqueducs;Lyon 5e Arrondissement;;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2012-12-06;2018-04-24;2012-12-06;69385;661;4,796588445150712;45,757177108885834
E734;E734;110-118 Avenue Pierre Brossolette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;;69029;369;4,92120896366625;45,73932737829633
E131;E131;1 Place Ampère;Neuville-sur-Saône;11316;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2022-10-07;2013-02-26;69143;689;4,838586421018649;45,876539366182584
E378;E378;36 Chemin de Montlouis;Écully;06717;allées 36/38;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;691;4,78366705145898;45,792590371049336
E263;E263;10 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;732;4,865777278725024;45,698130729127634
E126B;E126B;Place du 8 Mai 1945;Neuville-sur-Saône;11319;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-26;69143;746;4,840336705600623;45,87722250998914
E671;E671;118-120 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.OM;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;630;4,901856674181371;45,760203862521266
E301;E301;6 Avenue du 8 Mai 1945;Vénissieux;20232;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;832;4,8716523870914905;45,694000117093296
E515;E515;1 Square Koenig;Rillieux-la-Pape;25247;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2020-09-01;2020-09-17;2022-12-15;2021-01-14;69286;848;4,904751711289711;45,81542651309771
E260;E260;6 Avenue de la Division Leclerc;Vénissieux;;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2012-11-19;69259;875;4,867181497675477;45,69836449978113
E233;E233;3 Rue du Peronnet;Vernaison;20611;;V101.0.OM;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;915;4,814937110957639;45,652258386043904
E111;E111;2 Rue Edith Piaf;Lyon 9e Arrondissement;35277;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2009-10-29;2020-08-20;2020-08-20;69389;917;4,794182849910283;45,788044836234356
E118;E118;Rue de Jéricho coté place Abbé Pierre;Lyon 9e Arrondissement;;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2010-05-07;2018-04-24;2013-02-22;69389;920;4,795305278012191;45,785582647909266
E134;E134;5b Place Abbé Pierre;Lyon 9e Arrondissement;35339;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2011-05-26;2018-04-24;2014-02-14;69389;987;4,796122933200628;45,786389316000836
E149;E149;2 Rue Georges Charpak;Vénissieux;36068;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2016-07-01;2023-05-23;2023-05-23;69259;1009;4,870473153137957;45,69557609203867
E128C;E128C;8 Rue Pierre Dugelay/face ch de parenty;Neuville-sur-Saône;;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-22;69143;1011;4,841991808347658;45,87564616199011
E673;E673;118-120 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.OM;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;1609;4,901861846376366;45,76018036067483
E453;E453;253 Rue Clair Logis;Vernaison;20597;;V101.0.OM;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;1045;4,8165717604830345;45,65229504234408
E716;E716;7 Rue François Mansart;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-08;2019-11-08;;69290;1056;4,947419878368249;45,68990015048152
E638;E638;5 Rue Père Louis De Galard;Lyon 9e Arrondissement;35636;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2016-12-16;2020-08-20;2020-08-20;69389;1061;4,7941406970173235;45,78567127944146
E662;E662;Face au180 Rue Yvonne Chanu;Villeurbanne;;interieur batiment;Z101.0.OM;Col Est;GPE;2019-06-01;2019-09-09;2020-06-12;2020-06-12;69266;1915;4,910413909979628;45,752940587710995
E181;E181;3A Rue Roger Salengro;Vénissieux;20517;;V101.0.OM;Col Sud;COL VEOLIA;2018-01-29;2018-02-05;2018-04-24;;69259;1109;4,865804311133733;45,72434805276427
E709;E709;14 Rue François Mansart;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-08;2019-11-12;;69290;1178;4,947197610551555;45,689091086712246
E670;E670;118-120 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.OM;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;2262;4,901822017989407;45,76020360572032
E296;E296;5 Rue Edith Piaf;Lyon 9e Arrondissement;35277;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2013-05-23;2020-08-20;2020-08-20;69389;1189;4,7940635820197;45,78731922789617
E768;E768;42 Avenue du Chater;Francheville;07250;;V101.0.OM;Col Sud;COL GUERIN;2022-04-20;2022-05-12;2022-05-12;;69089;1202;4,771706193103356;45,74388086081242
E706;E706;110 Place Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-12;;69290;1231;4,948684970694908;45,68910065278123
E189;E189;13 Avenue de Gadagne;Saint-Genis-Laval;15620;;V101.0.OM;Col Sud;COL VEOLIA;2019-02-01;2019-01-28;2019-01-28;;69204;1219;4,793026024804702;45,701479098247795
E462;E462;14 Rue du Peronnet;Vernaison;20611;;V101.0.OM;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;1220;4,8156135159014;45,65224571593717
E455;E455;700 Route de Lyon;Vernaison;20596;;V101.0.OM;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;;69260;1223;4,814168541678615;45,652361533324914
E672;E672;118-120 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.OM;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;2600;4,901829492390381;45,76017755608539
E695;E695;Entree Place Claude Farrere;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-12;;69290;1338;4,948647416944199;45,68844995474809
E179;E179;3A Rue Roger Salengro;Vénissieux;20517;;V101.0.OM;Col Sud;COL VEOLIA;2018-01-29;2018-02-05;2018-04-24;2018-02-05;69259;1339;4,865754423399923;45,72433946250194
E700;E700;5 Rue Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-07;;69290;1353;4,949872114055131;45,68896703952847
E139;E139;2 Rue Président Edouard Herriot;Vénissieux;20503;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;1346;4,876866837033043;45,69626038668704
E163;E163;2 Allée Jean Moulin;Givors;35170;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2015-05-13;2018-04-24;;69091;1364;4,764667765450614;45,60643422354447
E465;E465;14 Rue Jacquard;Oullins;11689;;V101.0.OM;Col Sud;COL VEOLIA;2019-07-15;2019-07-15;2022-01-21;;69149;1396;4,81351644232166;45,70972835026831
E526;E526;12 Rue Paul Verlaine;Vénissieux;20502;;V101.0.OM;Col Sud;COL GUERIN;2021-02-15;2021-03-01;2021-03-02;2021-03-02;69259;1411;4,855038392568233;45,72405211609567
E705;E705;110 Place Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-12;;69290;1444;4,948671767614468;45,689150973663736
E803;E803;105 Cours Rouget de Lisle;Rillieux-la-Pape;37215;;V101.0.OM;Col Nord-Ouest;COL GUERIN;2024-01-01;2024-01-19;2024-01-19;;69286;5048;4,906843508991733;45,81478991321302
E327;E327;116 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;1486;4,847730299064927;45,793136348032704
E769;E769;42 Avenue du Chater;Francheville;;;V101.0.OM;Col Sud;COL GUERIN;2022-04-20;2022-05-12;2022-05-12;;69089;1488;4,7700722474982955;45,743565221612826
E698;E698;5 Rue Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-07;;69290;1500;4,94986489900939;45,68898555960709
E158;E158;4 Allée Jean Moulin;Givors;35170;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2015-05-13;2018-04-24;;69091;1522;4,7646400326373;45,606120183997284
E699;E699;5 Rue Claude Farrere;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-07;;69290;1554;4,950018796604454;45,68902404027702
E326;E326;116 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;1547;4,847713296945896;45,793093066617054
E264;E264;10 Avenue de la Division Leclerc;Vénissieux;20227;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;1570;4,865747742112889;45,698111322414555
E692;E692;9 Rue Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-07;;69290;1643;4,950652633534647;45,68834243070428
E130;E130;Face au 11 Quai Pasteur;Neuville-sur-Saône;;face au n 11;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-22;69143;3907;4,838437594549458;45,87571383485809
E379;E379;36 Chemin de Montlouis;Écully;06717;allées 36/38;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;1622;4,78361807642867;45,79260099434007
E471;E471;3 Rue Roger Fenech;Lyon 9e Arrondissement;36983;;W101.0.OM;Col Nord-Ouest;NICOLLIN;2019-11-08;2019-11-13;2020-08-20;2020-08-20;69389;1673;4,792942239719864;45,78362709670794
E766;E766;42 Avenue du Chater;Francheville;07250;;V101.0.OM;Col Sud;COL GUERIN;2022-04-20;2022-05-12;2022-05-12;;69089;1692;4,771646550684617;45,743876624714524
E335;E335;112 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;1724;4,848058300698465;45,793795274673485
E602;E602;Place du Marché;Rillieux-la-Pape;25159;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69286;1740;4,897228307523663;45,813387686186054
E737;E737;106-123 Avenue Pierre Brossolette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;2020-05-22;69029;1754;4,920097416113034;45,73997234669023
E742;E742;128b-130b Avenue Pierre Brosselette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;;69029;1775;4,919881911417636;45,73863742872373
E530;E530;26 Rue Paul Verlaine;Vénissieux;20502;;V101.0.OM;Col Sud;COL GUERIN;2021-02-15;2021-03-01;2021-03-02;2021-03-02;69259;1767;4,856849920301764;45,72467139323185
E675;E675;118-127 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.OM;Col Est;GPE;2019-07-01;2019-09-09;2019-09-09;;69266;4455;4,901870543179219;45,760155127637226
E666;E666;Face au188 Rue Yvonne Chanu;Villeurbanne;;interieur batiment;Z101.0.OM;Col Est;GPE;2019-06-01;2019-09-09;2020-05-12;;69266;4480;4,91033325825508;45,7521910372172
E368;E368;58 Chemin des sources ;Écully;;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;1788;4,787533694028708;45,79013735616154
E135;E135;10b Place Abbé Pierre;Lyon 9e Arrondissement;35339;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2011-05-26;2018-04-24;2014-02-14;69389;1798;4,796458979436336;45,78635833560609
E767;E767;42 Avenue du Chater;Francheville;07250;;V101.0.OM;Col Sud;COL GUERIN;2022-04-20;2022-05-12;2022-05-12;2022-05-12;69089;2022;4,771677595969562;45,74387855134925
E634;E634;2 Rue Alfred de Musset;Villeurbanne;;;Z101.0.OM;Col Est;GPE;2017-05-22;2016-10-10;2018-04-24;;69266;2035;4,914239403495234;45,75640126342302
E646;E646;10 Rue Marcel Cerdan;Lyon 9e Arrondissement;32104;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2017-02-07;2020-08-20;2020-08-20;69389;2044;4,793618124849529;45,78842356415205
E165;E165;2 Allée Jean Moulin;Givors;35170;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2015-05-13;2018-04-24;;69091;2062;4,764669526776872;45,606453824535855
E157;E157;4 Allée Jean Moulin;Givors;35170;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-06-22;2018-04-24;2015-05-13;69091;2072;4,764640435144167;45,60610953868176
E749;E749;Rue Jacqueline Descout;Lyon 9e Arrondissement;;;W101.0.OM;Col Nord-Ouest;NICOLLIN;2020-06-23;2020-06-24;2020-08-20;2020-08-20;69389;2117;4,792914616159911;45,783010391607014
E338;E338;109 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;2118;4,8481483797434;45,79400796942705
E608;E608;9 Rue Père Louis De Galard;Lyon 9e Arrondissement;35636;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2015-10-06;2020-08-20;2020-08-20;69389;2157;4,793469748747041;45,785797298007985
E713;E713;7 Rue François Mansart;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-08;2019-11-08;;69290;2210;4,947344244870621;45,689900633996416
E770;E770;42 Avenue du Chater;Francheville;;;V101.0.OM;Col Sud;COL GUERIN;2022-04-20;2022-05-12;2022-05-12;;69089;2330;4,7700768189502165;45,74354531525868
E741 ;E741 ;124-128 Avenue Pierre Brosselette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;;69029;2368;4,9195897896172385;45,73921753695588
